GEOID,B25024_002M,B25024_003M,B25024_004M,B25024_005M,B25024_006M,B25024_007M,B25024_008M,B25024_009M
g361031473006,106,64,28,11,106,31,25,32
g361031474011,108,29,78,48,30,31,11,44
g361031474012,99,34,96,84,11,73,39,19
g361031474013,127,31,21,70,11,11,24,11
g361031474014,39,19,32,39,94,26,38,44
g361031474021,55,11,11,11,11,11,11,11
g361031474022,58,52,11,17,11,11,11,11
g361031474023,51,11,11,13,11,11,11,11
g361031475011,63,11,68,11,11,62,62,46
g361031475012,129,35,81,79,11,11,11,11
g361031475013,72,11,11,11,11,11,11,11
g361031475014,71,11,11,36,11,11,11,22
g361031475015,108,58,49,11,11,11,11,11
g361031475016,92,29,62,24,66,30,25,44
g361031475021,75,11,11,11,11,11,21,11
g361031475022,66,11,11,11,11,11,11,11
g361031475023,78,80,11,11,11,11,11,11
g361031475024,78,15,67,11,11,11,11,11
g361031475025,64,11,11,11,11,11,11,11
g361031475031,45,8,35,11,12,11,11,11
g361031476011,50,11,11,11,11,11,11,11
g361031476012,54,27,26,11,19,18,11,11
g361031476021,70,40,31,60,87,84,66,51
g361031476022,102,44,11,11,11,25,11,11
g361031476023,79,54,33,17,26,26,29,18
g361031476024,81,11,15,11,11,11,11,11
g361031477011,64,15,26,28,41,11,31,15
g361031477012,65,13,11,21,52,20,24,14
g361031477021,90,11,11,11,16,11,11,11
g361031477022,79,11,11,11,11,11,11,11
g361031477023,76,11,51,15,11,11,11,13
g361031477024,52,11,38,46,11,13,11,11
g361031478021,56,12,24,18,10,32,27,16
g361031478022,67,13,9,11,11,11,11,11
g361031478023,76,11,26,34,41,11,11,16
g361031478031,66,58,30,32,59,68,49,35
g361031478032,46,11,11,27,11,20,25,39
g361031478041,87,11,11,11,11,11,11,11
g361031478042,76,14,11,18,17,11,11,11
g361031478043,60,11,20,11,11,11,11,11
g361031478044,62,11,11,11,11,11,11,11
g361031479011,97,24,9,39,11,11,11,11
g361031479012,45,11,25,32,70,92,73,57
