GEOID,B25075_002M,B25075_003M,B25075_004M,B25075_005M,B25075_006M,B25075_007M,B25075_008M,B25075_009M,B25075_010M,B25075_011M,B25075_012M,B25075_013M,B25075_014M,B25075_015M,B25075_016M,B25075_017M,B25075_018M,B25075_019M,B25075_020M,B25075_021M,B25075_022M,B25075_023M,B25075_024M,B25075_025M
g361031236001,11,11,11,15,11,11,11,11,11,11,11,11,11,12,9,39,11,46,25,70,59,62,25,11
g361031236002,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,26,39,27,25,11
g361031236003,11,11,11,12,11,11,11,11,11,11,11,12,11,11,11,11,11,11,13,70,47,43,18,15
g361031237011,11,11,11,19,11,11,15,11,11,11,11,11,11,11,11,17,11,58,65,63,36,35,11,11
g361031237012,14,11,11,11,11,11,11,11,11,11,11,11,11,11,29,11,11,12,24,26,7,11,11,12
g361031237013,11,11,11,11,11,11,11,11,11,15,11,11,11,11,11,11,12,40,18,34,15,15,11,11
g361031237014,11,11,11,11,11,13,11,11,11,11,11,11,15,11,13,17,12,11,31,39,13,11,11,11
g361031237021,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,25,31,43,112,83,11,11,25
g361031237022,11,11,11,25,11,11,11,11,11,11,11,11,11,11,11,19,64,60,144,96,27,11,11,11
g361031237023,22,11,11,11,11,11,11,11,11,11,11,11,11,11,11,20,23,57,72,46,36,14,11,11
g361031237024,11,11,11,11,20,11,11,11,11,11,11,11,19,11,11,11,23,96,72,92,30,11,11,11
g361031238011,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,52,31,52,61,28,15,11
g361031238012,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,19,18,84,11,11,12,11
g361031238013,13,11,11,11,11,11,11,17,11,11,11,11,11,11,11,23,12,26,60,52,64,31,14,19
g361031238021,11,11,11,11,17,11,11,11,11,11,17,11,11,11,11,11,11,37,48,107,20,60,11,11
g361031238022,29,11,11,11,11,11,11,11,11,11,19,11,9,11,11,11,12,29,74,82,97,45,29,11
g361031239001,11,11,11,11,11,11,22,11,16,11,11,11,11,11,11,11,11,52,22,65,23,18,14,11
g361031239002,11,11,14,11,11,11,11,11,11,11,11,11,11,11,9,11,11,11,33,56,30,11,11,11
g361031239003,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,25,21,14,26,65,14,8,11,14
g361031239004,11,11,11,11,11,11,11,11,11,11,11,11,11,18,11,11,11,26,30,74,43,11,11,11
