GEOID,B25038_001M,B25038_003M,B25038_004M,B25038_005M,B25038_006M,B25038_007M,B25038_008M,B25038_010M,B25038_011M,B25038_012M,B25038_013M,B25038_014M,B25038_015M
g361031244023,113,11,94,64,80,15,10,3,11,11,11,11,11
g361031245001,74,17,34,49,31,24,31,16,58,14,11,11,11
g361031245002,75,10,33,53,38,25,22,15,71,14,14,15,11
g361031245003,109,16,55,46,28,11,28,66,60,53,11,11,11
g361031245004,89,52,81,46,37,30,34,16,12,11,11,11,47
g361031246011,56,44,55,39,19,32,20,25,11,9,11,11,11
g361031246012,50,18,37,28,33,27,20,14,10,11,11,11,11
g361031246013,45,12,29,31,18,34,21,11,9,11,11,11,11
g361031246021,53,49,31,19,30,21,21,21,28,11,18,11,11
g361031246022,97,42,24,28,39,50,35,37,81,26,11,11,11
g361031246023,95,43,50,74,43,33,26,48,44,11,11,11,11
g361031246024,82,21,27,34,62,22,11,61,60,25,24,11,18
g361031347021,131,11,66,103,63,47,93,57,27,11,11,11,11
g361031347022,146,38,126,86,89,40,77,91,19,57,11,26,11
g361031347023,116,11,29,11,11,11,11,78,121,37,11,83,11
g361031347024,67,29,48,39,34,29,60,11,30,23,11,11,11
g361031347031,58,20,58,38,62,12,18,11,11,11,11,11,11
g361031347032,70,25,68,59,26,23,25,11,11,11,11,11,11
g361031347033,68,42,52,42,36,25,20,50,38,11,11,11,11
g361031347034,48,21,33,30,52,36,15,11,11,11,11,11,11
g361031347041,53,30,52,52,35,32,15,26,11,11,11,11,11
g361031347042,60,8,41,47,22,15,12,32,27,9,11,11,11
g361031349021,75,37,52,54,31,23,28,48,11,11,15,11,11
g361031349022,49,20,41,50,31,20,33,11,11,11,11,11,11
g361031349023,91,21,82,70,38,36,58,9,36,11,11,11,11
g361031349031,18,24,39,39,19,15,24,35,46,11,11,11,11
g361031349041,92,35,49,69,47,60,74,30,11,11,11,11,11
g361031349042,92,68,50,89,43,41,65,11,11,11,11,11,11
g361031349043,89,31,65,40,27,23,16,23,16,14,11,11,11
g361031349044,94,25,81,59,29,38,27,111,68,11,19,11,11
g361031349061,85,34,74,87,11,28,41,11,27,11,11,11,11
g361031349062,87,25,76,44,53,11,55,17,26,11,11,9,11
g361031349063,77,30,92,68,52,68,56,11,19,11,11,11,11
g361031349064,91,11,42,45,28,25,11,89,53,43,6,11,11
g361031349071,89,30,59,44,70,64,12,43,35,11,11,11,11
g361031349072,88,38,94,73,38,47,45,6,42,11,11,11,11
g361031350021,72,36,71,55,58,30,18,16,11,13,11,11,11
g361031350022,94,51,51,80,44,37,45,53,53,33,11,11,11
g361031350023,77,23,73,48,57,46,28,11,18,11,11,11,11
g361031350031,70,11,70,31,54,19,24,9,15,17,12,11,11
g361031350032,64,14,64,57,30,21,21,11,19,13,11,11,11
g361031350033,71,14,56,43,49,34,26,13,48,11,11,11,11
g361031350041,51,17,40,49,27,22,9,7,20,11,5,11,11
g361031350042,39,11,32,20,21,6,6,11,18,5,11,11,11
g361031350043,41,16,19,20,20,18,17,11,19,5,11,11,11
g361031350051,64,52,42,62,30,30,18,32,11,11,11,11,11
g361031350052,68,50,73,36,17,21,16,37,24,39,11,11,11
g361031350053,63,19,46,45,16,11,11,17,10,11,11,11,11
g361031351011,64,26,30,58,35,21,50,11,11,11,11,11,11
g361031351012,65,12,86,87,48,44,62,11,42,14,11,11,11
g361031351021,48,11,38,43,34,33,35,11,11,21,11,11,11
g361031351022,88,35,83,34,47,65,45,46,42,19,11,11,11
g361031351023,62,29,47,48,46,17,19,11,11,11,11,11,11
g361031351031,81,41,78,51,31,30,41,11,18,12,11,11,11
g361031351032,70,34,46,66,46,10,11,11,43,11,11,11,11
g361031351033,79,48,69,70,44,34,36,39,11,11,11,11,11
g361031351041,64,24,62,55,34,34,44,11,10,11,11,11,11
g361031351042,85,56,88,73,36,33,37,18,73,11,11,11,11
g361031351043,63,24,41,44,20,58,22,11,11,11,11,11,11
g361031352011,24,23,50,48,37,35,40,6,11,11,11,11,6
g361031352041,76,17,72,72,32,39,35,11,18,11,11,11,23
g361031352042,86,21,57,93,45,61,59,16,51,25,11,11,11
g361031352043,64,11,53,39,35,48,32,11,11,11,11,11,11
g361031352051,85,11,60,68,27,33,41,67,82,15,11,11,14
g361031352052,74,28,49,69,39,41,36,11,11,11,11,11,11
g361031352053,48,19,48,37,33,21,41,16,11,11,11,11,11
g361031352081,65,24,50,53,39,32,59,38,11,11,11,11,11
g361031352082,60,32,58,40,67,27,49,17,29,11,11,11,11
g361031352091,80,11,69,60,54,18,29,42,54,11,11,11,11
g361031352092,63,13,44,60,13,30,42,11,20,11,11,11,11
g361031353011,76,47,60,63,56,31,38,11,11,25,11,11,11
g361031353012,63,20,37,31,47,34,56,11,11,11,11,11,11
g361031353013,73,11,65,32,37,11,11,12,11,11,11,11,11
g361031353031,73,81,81,79,30,41,49,11,47,11,21,11,11
g361031353032,75,15,55,42,64,50,29,11,52,11,11,11,11
