GEOID,B25034_001M,B25034_010M,B25034_009M,B25034_008M,B25034_007M,B25034_006M,B25034_005M,B25034_004M,B25034_003M,B25034_002M,B25024_001M,B25024_002M,B25024_003M,B25024_004M,B25024_005M,B25024_006M,B25024_007M,B25024_008M,B25024_009M,B03002_001M,B03002_003M,B03002_004M,B03002_012M,B03002_006M,B11001_001M,B11001_003M,B11001_004M,B11001_009M,B11001_008M,B25004_001M,B25004_006M,B25075_001M,B25075_002M,B25075_003M,B25075_004M,B25075_005M,B25075_006M,B25075_007M,B25075_008M,B25075_009M,B25075_010M,B25075_011M,B25075_012M,B25075_013M,B25075_014M,B25075_015M,B25075_016M,B25075_017M,B25075_018M,B25075_019M,B25075_020M,B25075_021M,B25075_022M,B25075_023M,B25075_024M,B25075_025M,C17002_001M,C17002_002M,C17002_003M,C17002_004M,C17002_005M,C17002_006M,C17002_007M,C17002_008M,B25038_001M,B25038_003M,B25038_004M,B25038_005M,B25038_006M,B25038_007M,B25038_008M,B25038_010M,B25038_011M,B25038_012M,B25038_013M,B25038_014M,B25038_015M
g361031112012,88,45,69,71,72,20,11,11,11,11,88,89,11,24,43,11,11,11,11,486,303,179,421,11,86,84,87,11,25,13,11,85,11,11,11,11,11,11,9,11,11,11,11,11,11,11,11,12,21,39,77,69,51,11,11,11,486,100,203,15,387,257,11,442,86,11,78,52,36,45,14,53,11,48,11,11,11
g361031112013,79,18,64,45,16,36,20,49,11,11,79,87,11,25,11,11,11,11,11,288,265,45,23,126,79,72,17,31,52,11,11,73,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,19,13,57,41,18,11,14,288,36,45,17,32,33,11,285,79,41,42,33,33,12,35,19,47,11,11,11,11
g361031112021,103,93,75,95,102,47,23,11,11,11,103,117,40,68,16,11,56,11,11,501,401,331,306,46,111,125,60,63,96,77,11,95,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,22,33,92,51,15,16,15,501,32,70,16,31,22,11,502,111,20,48,89,51,41,33,29,113,47,11,11,11
g361031112022,74,23,61,64,44,11,11,11,11,11,74,70,11,52,19,11,11,19,11,229,113,11,219,11,74,47,55,27,34,59,11,62,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,25,48,34,18,11,11,11,229,112,59,11,119,11,11,129,74,11,46,29,11,22,16,55,22,11,11,11,14
g361031112023,82,40,35,50,66,35,11,36,11,11,82,79,35,36,20,11,11,11,11,268,217,91,206,95,82,61,41,16,59,11,11,83,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,23,34,62,39,44,11,11,268,4,11,5,90,71,79,289,82,40,34,58,30,33,42,35,21,19,11,11,11
g361031113001,74,45,29,74,69,16,12,23,50,11,74,81,51,37,11,11,11,11,11,295,306,25,39,73,77,83,59,27,42,47,38,69,11,11,11,11,11,11,11,11,11,11,11,11,11,15,11,11,11,17,11,18,57,54,66,5,292,11,67,20,62,56,11,289,77,34,76,65,29,22,28,48,27,15,18,11,11
g361031113002,71,22,31,78,60,32,27,23,17,11,71,71,11,11,11,11,11,11,11,237,224,11,99,12,71,71,33,10,32,11,11,71,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,9,11,36,38,70,46,30,236,11,39,45,11,11,74,229,71,25,60,55,60,31,34,11,11,11,11,11,11
g361031113003,62,11,11,52,31,11,61,29,31,11,62,61,22,11,11,11,11,11,11,205,203,112,11,11,62,61,52,10,30,11,11,69,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,52,11,48,41,56,204,17,19,11,11,11,11,199,62,11,50,57,58,11,24,16,11,11,11,11,11
g361031114011,12,13,26,31,50,20,17,11,23,23,12,15,11,6,11,11,11,7,11,166,164,28,37,9,49,54,34,23,41,50,11,47,11,11,11,11,11,11,11,11,6,11,11,11,11,11,11,11,11,3,12,32,48,38,52,11,166,21,14,10,11,21,11,150,49,31,43,43,38,21,27,6,11,11,11,11,11
g361031114021,80,47,61,55,57,23,11,28,17,11,80,78,26,11,11,11,11,11,13,303,330,145,76,37,80,83,29,11,31,11,11,85,11,11,11,11,11,11,15,11,45,11,11,11,11,11,11,11,11,27,13,52,78,44,11,13,303,11,24,11,95,53,37,297,80,22,71,45,26,30,45,11,18,11,11,11,11
