GEOID,B25034_001E,B03002_001E,B11001_001E,B25026_001E,B25004_001E,B25075_001E,B25024_001E
g361031349071,604,2017,604,,0,493,604
g361031349072,875,2792,875,,0,842,875
g361031350021,438,1164,438,,0,420,438
g361031350022,762,2236,752,,10,627,762
g361031350023,616,1920,616,,0,604,616
g361031350031,474,1449,459,,15,423,474
g361031350032,495,1550,473,,22,450,495
g361031350033,587,1542,547,,40,485,587
g361031350041,638,1692,560,,78,524,638
g361031350042,260,682,239,,21,207,260
g361031350043,253,604,236,,17,212,253
g361031350051,538,1511,464,,74,438,538
g361031350052,595,1184,571,,24,477,595
g361031350053,236,718,215,,21,192,236
g361031351011,387,1129,387,,0,387,387
g361031351012,869,2735,869,,0,827,869
g361031351021,408,1346,408,,0,394,408
g361031351022,724,1783,706,,18,602,724
g361031351023,370,1255,370,,0,370,370
g361031351031,498,1520,498,,0,480,498
g361031351032,434,1245,434,,0,406,434
g361031351033,659,1953,636,,23,604,659
g361031351041,508,1765,508,,0,502,508
g361031351042,815,2335,784,,31,691,815
g361031351043,345,1166,345,,0,345,345
g361031352011,707,2148,690,,17,682,707
g361031352041,484,1699,484,,0,452,484
g361031352042,674,1920,654,,20,575,674
g361031352043,335,995,335,,0,335,335
g361031352051,893,2318,893,,0,553,893
g361031352052,496,1436,496,,0,496,496
g361031352053,391,1234,391,,0,380,391
g361031352081,555,1441,511,,44,482,555
g361031352082,488,1585,488,,0,455,488
g361031352091,749,1762,689,,60,530,749
g361031352092,424,1241,424,,0,411,424
g361031353011,638,1919,615,,23,599,638
g361031353012,432,1307,432,,0,432,432
g361031353013,224,759,224,,0,217,224
g361031353031,964,2979,956,,8,907,964
g361031353032,483,1319,483,,0,442,483
g361031353041,925,2858,857,,68,849,925
g361031353042,321,529,321,,0,290,321
g361031354011,547,1214,493,,54,217,547
g361031354012,815,2505,756,,59,711,815
g361031354013,949,3161,917,,32,840,949
g361031354021,843,2969,843,,0,783,843
g361031354022,717,2141,717,,0,545,717
g361031354023,284,832,284,,0,268,284
g361031354024,476,1258,464,,12,377,476
g361031354031,341,1110,341,,0,329,341
g361031354032,728,2109,718,,10,644,728
g361031354033,380,1131,320,,60,277,380
g361031456021,429,1696,429,,0,340,429
g361031456022,489,1510,419,,70,336,489
g361031456023,653,2756,653,,0,597,653
g361031456031,689,2969,591,,98,375,689
g361031456032,365,1361,350,,15,137,365
g361031456033,711,2869,658,,53,456,711
g361031456041,882,3620,786,,96,529,882
g361031456042,414,1629,374,,40,278,414
g361031456051,383,1426,367,,16,232,383
g361031456052,516,2322,471,,45,316,516
g361031457011,258,770,235,,23,235,258
g361031457012,478,1507,466,,12,457,478
g361031457013,697,1448,672,,25,34,697
g361031457014,536,1690,510,,26,482,536
g361031457021,293,1210,259,,34,225,293
g361031457022,512,1822,445,,67,367,512
g361031457023,717,3319,707,,10,488,717
g361031457031,259,1088,230,,29,151,259
g361031457032,724,2719,661,,63,523,724
g361031457033,602,2086,571,,31,205,602
g361031457041,487,2180,487,,0,355,487
g361031457042,554,942,467,,87,313,554
g361031457043,771,3246,723,,48,449,771
g361031457044,521,1068,521,,0,9,521
g361031458031,504,1419,478,,26,478,504
g361031458032,573,1644,552,,21,527,573
g361031458033,674,1764,642,,32,493,674
g361031458041,579,1870,540,,39,481,579
g361031458042,511,1476,472,,39,426,511
g361031458051,565,895,496,,69,311,565
g361031458052,488,1396,488,,0,450,488
g361031458053,540,1843,540,,0,416,540
g361031458054,567,1722,567,,0,493,567
g361031458071,709,2114,696,,13,668,709
g361031458072,743,2311,704,,39,653,743
g361031458081,601,2004,575,,26,464,601
g361031458082,412,1305,412,,0,358,412
g361031459011,370,1661,363,,7,237,370
g361031459012,650,2262,628,,22,590,650
g361031459021,548,2517,515,,33,346,548
g361031459022,488,1590,488,,0,329,488
g361031459023,599,1690,564,,35,374,599
g361031459024,703,2676,669,,34,414,703
g361031459031,445,1569,445,,0,423,445
g361031459032,497,1503,464,,33,434,497
g361031459033,378,1291,378,,0,272,378
g361031459034,555,1721,555,,0,369,555
g361031460011,609,3273,609,,0,452,609
g361031460012,571,2659,537,,34,330,571
g361031460021,494,1942,482,,12,428,494
g361031460022,347,1345,309,,38,218,347
g361031460023,573,2688,489,,84,353,573
