GEOID,B03002_001E,B03002_003E,B03002_004E,B03002_012E,B03002_006E
g361031588042,863,786,12,64,0
g361031588043,1064,512,0,494,58
g361031588044,889,847,0,42,0
g361031588045,1113,717,0,349,0
g361031588046,1120,977,0,119,24
g361031589001,1357,689,68,509,0
g361031589002,2269,510,250,1509,0
g361031589003,901,806,0,95,0
g361031589004,611,465,50,96,0
g361031589005,2109,1798,91,74,14
g361031590001,2105,1208,91,806,0
g361031590002,1660,1059,114,469,0
g361031590003,1033,752,88,193,0
g361031591021,1404,1228,5,170,1
g361031591022,1525,1146,0,379,0
g361031591023,1094,873,157,64,0
g361031591024,1599,901,154,320,137
g361031591025,840,597,85,112,29
g361031591031,954,394,205,300,0
g361031591032,792,90,409,157,111
g361031591033,2892,446,524,1676,0
g361031591034,1994,72,1127,643,57
g361031591051,1866,1324,97,192,218
g361031591052,1596,1233,43,161,31
g361031591053,2253,1067,186,855,145
g361031591054,1213,920,47,178,0
g361031591061,1518,712,247,348,153
g361031591062,2865,1769,339,556,190
g361031591063,2112,1474,271,277,14
g361031591071,1356,1155,0,163,13
g361031591072,1026,959,0,67,0
