GEOID,B11001_003M,B11001_004M,B11001_009M,B11001_008M
g361031907043,40,11,6,22
g361031907044,66,11,16,34
g361031907045,61,23,18,69
g361031907051,17,16,11,16
g361031907052,105,13,61,48
g361031907053,42,29,11,36
g361031907054,72,32,76,68
g361031907055,64,56,17,71
g361031907061,71,39,38,59
g361031907062,96,39,30,75
g361031907063,95,27,36,15
g361031907064,56,29,11,67
g361031907065,90,26,18,20
g361031907071,96,30,11,57
g361031907072,109,33,49,70
g361031907073,75,11,11,43
g361031907074,107,43,82,31
g361031907075,78,22,85,126
g361031907081,48,14,21,19
g361031907082,54,52,51,65
g361031908001,62,58,14,71
g361031908002,56,65,11,63
g361031908003,68,22,31,76
g361031908004,57,46,48,48
g361032009011,36,40,7,44
g361032009012,37,9,10,34
g361032009021,155,37,52,79
g361032009022,83,37,11,60
g361032009023,104,54,110,55
g361032009024,98,24,11,63
g361032009025,54,27,24,36
g361032009026,207,60,82,77
g361032009027,77,47,16,30
g361032010011,103,33,45,98
g361032010012,60,57,97,86
g361032010013,102,44,56,105
g361032010014,87,65,26,56
g361032010015,170,43,47,116
g361032010031,97,42,11,85
g361032010032,56,11,5,39
g361032010033,40,20,11,35
g361032010034,64,15,57,32
g361032010035,68,33,55,62
